,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,mileage,engine_size,horsepower,Seats,Price,Age
0,Maruti Wagon R LXI CNG,2010,72000,CNG,Manual,First,26.6,998,58.16,5,1.75,13
1,Hyundai Creta 1.6 CRDi SX Option,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,12.5,8
2,Honda Jazz V,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,4.5,12
3,Maruti Ertiga VDI,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,6,11
4,Audi A4 New 2.0 TDI Multitronic,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,17.74,10
5,Hyundai EON LPG Era Plus Option,2012,75000,LPG,Manual,First,21.1,814,55.2,5,2.35,11
6,Nissan Micra Diesel XV,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,3.5,10
7,Toyota Innova Crysta 2.8 GX AT 8S,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,17.5,7
8,Volkswagen Vento Diesel Comfortline,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,5.2,10
9,Tata Indica Vista Quadrajet LS,2012,65932,Diesel,Manual,Second,22.3,1248,74,5,1.95,11
10,Maruti Ciaz Zeta,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,9.95,5
11,Honda City 1.5 V AT Sunroof,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,4.49,11
12,Maruti Swift VDI BSIV,2015,64424,Diesel,Manual,First,25.2,1248,74,5,5.6,8
13,Land Rover Range Rover 2.2L Pure,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,27,9
14,Land Rover Freelander 2 TD4 SE,2012,85000,Diesel,Automatic,Second,0,2179,115,5,17.5,11
15,Mitsubishi Pajero Sport 4X4,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,15,9
16,Honda Amaze S i-Dtech,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,5.4,7
17,Maruti Swift DDiS VDI,2017,25000,Diesel,Manual,First,28.4,1248,74,5,5.99,6
18,Renault Duster 85PS Diesel RxL Plus,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,6.34,9
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,28,9
20,BMW 3 Series 320d,2014,32982,Diesel,Automatic,First,22.69,1995,190,5,18.55,9
21,Maruti S Cross DDiS 200 Alpha,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,8.25,8
22,Audi A6 2011-2015 35 TFSI Technology,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,23.5,8
23,Hyundai i20 1.2 Magna,2010,45807,Petrol,Manual,First,18.5,1197,80,5,1.87,13
24,Volkswagen Vento Petrol Highline AT,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,2.85,13
25,Honda City Corporate Edition,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,4.25,11
26,Nissan Micra Diesel XV,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,4.25,11
27,Maruti Alto K10 2010-2014 VXI,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,2.75,10
28,Honda WRV i-VTEC VX,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,9.9,5
29,Toyota Innova 2.5 V Diesel 7-seater,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,4,16
30,Renault Duster 110PS Diesel RxZ Pack,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,7.75,10
31,Toyota Corolla Altis G,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,6.75,11
32,Mahindra Ssangyong Rexton RX7,2013,72000,Diesel,Automatic,Second,11.18,2696,184,7,12.5,10
33,Audi A6 2.7 TDI,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11.5,13
34,Volkswagen Vento 1.6 Highline,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,6.98,9
35,Maruti Wagon R LXI BSIII,2009,83816,Petrol,Manual,Second,14,1061,64,5,1.85,14
36,Maruti Vitara Brezza ZDi Plus,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,8.63,5
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,52000,Petrol,Manual,First,18.15,1198,82,5,4.85,6
38,Mercedes-Benz M-Class ML 350 CDI,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,28,10
39,Volkswagen Polo Diesel Trendline 1.2L,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,5,10
40,Maruti Alto LXi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,1.25,15
41,Tata Nano LX SE,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,1.53,9
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,22033,Diesel,Manual,First,25.32,1198,77,6,5.58,6
43,Hyundai i20 Magna Optional 1.2,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,4.74,9
44,Hyundai Elantra 2.0 SX Option AT,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,8.85,9
45,Toyota Corolla Altis G AT,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,10.11,7
46,Hyundai Elantra CRDi,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,4.25,15
47,Toyota Innova Crysta 2.7 GX MT,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,10.95,11
48,Hyundai Xcent 1.1 CRDi S,2014,75000,Diesel,Manual,First,24.4,1120,71,5,3.85,9
49,Mahindra Thar CRDe AC,2012,75800,Diesel,Manual,Second,16.55,2498,105,6,5.5,11
50,Audi A4 2.0 TDI 177  Premium Plus,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,21.43,8
51,Maruti Swift LDI,2014,52000,Diesel,Manual,First,22.9,1248,74,5,4.25,9
52,Maruti Swift Ldi BSIV,2014,53000,Diesel,Manual,First,17.8,1248,75,5,3.3,9
53,Maruti Swift VDI,2013,65650,Diesel,Manual,First,28.4,1248,74,5,3.85,10
54,Hyundai Grand i10 Sportz,2015,54000,Petrol,Manual,Third,18.9,1197,82,5,3.6,8
55,Volkswagen Vento 2013-2015 1.6 Comfortline,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,3.99,8
56,Renault KWID RXT,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,3.3,6
57,Hyundai i10 Asta,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,2.07,13
58,Nissan X-Trail SLX AT,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,7.75,13
59,Maruti Zen Estilo VXI BSIII,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,2.25,13
60,Toyota Innova Crysta 2.4 GX MT 8S,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,16.5,6
61,Ford Figo Diesel Titanium,2010,72000,Diesel,Manual,First,20,1399,68,5,2.75,13
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,58000,Petrol,Automatic,First,11.74,1796,186,5,26.7,8
63,Mercedes-Benz New C-Class 200 CDI Classic,2011,65000,Diesel,Manual,Second,15.8,2148,170,5,10,12
64,Tata Indica V2 eLS,2016,178000,Diesel,Manual,First,25,1396,69,5,2.5,7
65,Audi A4 2.0 TDI Multitronic,2012,65664,Diesel,Automatic,First,16.55,1968,140,5,13.5,11
66,Honda City ZX CVT,2007,63000,Petrol,Automatic,Second,16.4,1497,78,5,1.85,16
67,Mercedes-Benz C-Class Progressive C 220d,2019,15369,Diesel,Automatic,First,0,1950,194,5,35.67,4
68,Maruti Ertiga SHVS VDI,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,8.15,7
69,Hyundai Creta 1.4 E Plus Diesel,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,10.5,5
70,Porsche Cayenne 2009-2014 Turbo,2008,73000,Petrol,Automatic,First,8.5,4806,500,5,14.5,15
71,Mahindra XUV500 W8 4WD,2015,55729,Diesel,Manual,First,15.1,2179,140,7,9.65,8
72,Hyundai i10 Sportz 1.2 AT,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,3.48,11
73,Nissan Terrano XV D Pre,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,6.92,8
74,Honda Brio VX AT,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,6.46,7
75,Audi A6 2.0 TDI Design Edition,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,29.5,9
76,Ford Fiesta 1.4 SXi TDCi,2008,111111,Diesel,Manual,First,17.8,1399,null ,5,2,15
77,Toyota Innova 2.0 G1,2006,230000,Petrol,Manual,Third,12.4,1998,132,8,4.5,17
78,Toyota Innova 2.5 VX 7 STR BSIV,2012,104000,Diesel,Manual,First,12.8,2494,102,7,11.75,11
79,Hyundai Santro Xing XL,2005,87591,Petrol,Manual,First,0,1086,null ,5,1.3,18
80,Maruti Swift VDI,2012,95100,Diesel,Manual,First,22.9,1248,74,5,3.75,11
81,Tata Zest Revotron 1.2T XE,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,4.5,6
82,Honda Amaze SX i-VTEC,2016,54944,Petrol,Manual,First,18,1198,86.7,5,4.82,7
83,Ford Figo Diesel ZXI,2012,70337,Diesel,Manual,First,20,1399,68,5,2.8,11
84,Maruti Ritz VDi,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,3.11,10
85,Honda City i VTEC E,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,3.25,14
86,BMW 5 Series 2003-2012 525d,2011,75000,Diesel,Automatic,Second,16.73,1995,218,5,13.9,12
87,Hyundai i10 Sportz 1.2,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,2.25,14
88,Hyundai Grand i10 Sportz,2016,16000,Petrol,Manual,First,18.9,1197,82,5,5.75,7
89,Hyundai Santro Xing XO,2007,73745,Petrol,Manual,First,17,1086,null ,5,2.1,16
90,Honda Amaze SX i-VTEC,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,5,7
91,Toyota Fortuner 4x2 Manual,2014,107000,Diesel,Manual,First,13,2982,168.5,7,16.5,9
92,Audi A6 2011-2015 35 TDI Premium,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,39.58,5
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,5.5,10
